,project_id,backers,goal,left,owner,location
83,https://www.indiegogo.com/projects/poopail-world-s-best-2-in-1-solution-for-dog-poop/pica,"by 5,803 backers","$463,831 USD by 5,322 backers",0,,
84,https://www.indiegogo.com/projects/foreign-language-phrasebooks-with-spoken-audio/pica,2 backers,58% of $415,59 days left,Lango Jango,"Victoria, Canada"
85,https://www.indiegogo.com/projects/turbohub-world-s-fastest-ssd-6-in-1-usb-c-hub/pica,"by 4,927 backers","$888,323 USD by 3,974 backers",0,,
86,https://www.indiegogo.com/projects/scoutpro-240w-powerbank-fits-in-your-back-pocket/pica,"by 3,180 backers","$494,770 USD by 3,039 backers",0,,
87,https://www.indiegogo.com/projects/keepods-keeps-your-earbuds-secure-no-matter-what/pica,"by 8,723 backers","$179,165 USD by 6,005 backers",0,,
88,https://www.indiegogo.com/projects/time-cop-a-love-letter-to-80-s-action/pica,31 backers,"44% of $15,000",36 days left,Ethan Hawthorne-Dallas,"Seattle, United States"
89,https://www.indiegogo.com/projects/glo-most-efficient-portable-4k-wireless-monitor/pica,by 184 backers,"$90,058 USD by 178 backers",0,,
90,https://www.indiegogo.com/projects/glo-most-efficient-portable-4k-wireless-monitor/pica,by 184 backers,"$90,058 USD by 178 backers",0,,
91,https://www.indiegogo.com/projects/the-hypercube/pica,"by 1,890 backers","$136,245 USD by 542 backers",0,,
92,https://www.indiegogo.com/projects/ever-forward-club-the-adventure-card-game/pica,48 backers,"40% of $10,000",13 days left,Ashanti Branch,"Berkeley, United States"
93,https://www.indiegogo.com/projects/leoway-2wd-escooter-lightest-powerful-safely/pica,by 280 backers,"$62,638 USD by 156 backers",0,,
94,https://www.indiegogo.com/projects/smack/pica,95 backers,"44% of $15,000",8 days left,Cody Faulk,"ALEXANDRIA, United States"
95,https://www.indiegogo.com/projects/the-coin-a-short-film-road-to-feature/pica,12 backers,"43% of $3,500",36 days left,Luke Riether,"Lake Wales, United States"
96,https://www.indiegogo.com/projects/rapid-ssd-interchangeable-high-speed-portable-ssd/pica,342 backers,"1439% of $5,152",26 days left,Rapid Team,"Shenzhen, China"
97,https://www.indiegogo.com/projects/fox-tale-it-s-time/pica,107 backers,"38% of $50,000",10 days left,Wendy Neff & Felipe Bravo,"San Jose, United States"
98,https://www.indiegogo.com/projects/shall-not-be-infringed-patches-c-z--2/pica,6 backers,26% of $500,29 days left,"Trees of Liberty, LLC","Tallahassee, United States"
99,https://www.indiegogo.com/projects/aaron-sinclair-nature-album-trees-and-turtles/pica,49 backers,"103% of $3,000",27 days left,Aaron Sinclair,"Reno, United States"
