,project_id,img_file
0,https://www.indiegogo.com/projects/sirui-75mm-anamorphic-lens-king-of-portrait/pica,img_1.jpg
1,https://www.indiegogo.com/projects/livall-evo21-smart-helmet-360-active-protection/pica,img_2.jpg
2,https://www.indiegogo.com/projects/me-mum-a-new-method-for-predicting-fertility/pica,img_3.jpg
3,https://www.indiegogo.com/projects/gamma-all-season-graphene-infused-heated-jacket/pica,img_4.jpg
4,https://www.indiegogo.com/projects/edge-the-first-modular-work-from-home-kit/pica,img_5.jpg
5,https://www.indiegogo.com/projects/gosun-chillest-solar-cooler-that-doesn-t-need-ice/pica,img_6.jpg
6,https://www.indiegogo.com/projects/olive-pro-2-in-1-hearing-aids-bluetooth-earbuds/pica,img_7.jpg
7,https://www.indiegogo.com/projects/oyeet-nex-pro-massage-gun-breakthrough-the-limits/pica,img_8.jpg
8,https://www.indiegogo.com/projects/aawireless/pica,img_9.jpg
9,https://www.indiegogo.com/projects/kylgor-in-the-grisly-abyss-puppet-horror-fantasy/pica,img_10.jpg
10,https://www.indiegogo.com/projects/center-cam-finally-a-middle-screen-webcam--2/pica,img_11.jpg
11,https://www.indiegogo.com/projects/cinema-now-a-short-experimental-doc-about-cinema/pica,img_12.jpg
12,https://www.indiegogo.com/projects/cinema-now-a-short-experimental-doc-about-cinema/pica,img_13.jpg
13,https://www.indiegogo.com/projects/detroit-reawakening-a-detroit-become-human-short/pica,img_14.jpg
14,https://www.indiegogo.com/projects/onexplayer-best-performing-handheld-game-console/pica,img_15.jpg
15,https://www.indiegogo.com/projects/the-lifeguards-film/pica,img_16.jpg
16,https://www.indiegogo.com/projects/revolutionizing-sports-safety-and-training/pica,img_17.jpg
17,https://www.indiegogo.com/projects/cimino-home-transform-your-bedroom/pica,img_18.jpg
18,https://www.indiegogo.com/projects/lomi-turn-waste-to-compost-with-a-single-button/pica,img_19.jpg
19,https://www.indiegogo.com/projects/ladies-night/pica,img_20.jpg
20,https://www.indiegogo.com/projects/cool-comfy-shoes-easy-on-you-and-the-planet/pica,img_21.jpg
21,https://www.indiegogo.com/projects/bird-buddy-a-smart-bird-feeder/pica,img_22.jpg
22,https://www.indiegogo.com/projects/giant-sky-on-vinyl/pica,img_23.jpg
23,https://www.indiegogo.com/projects/world-s-smallest-cardiovascular-tester-icare/pica,img_24.jpg
24,https://www.indiegogo.com/projects/joyfous-retractable-rolling-shower-screen--2/pica,img_25.jpg
25,https://www.indiegogo.com/projects/joyfous-retractable-rolling-shower-screen--2/pica,img_26.jpg
26,https://www.indiegogo.com/projects/blusaigon-mother-of-pearl-legacy-pen-collection/pica,img_27.jpg
27,https://www.indiegogo.com/projects/pastoralists-to-permaculture-maasai-food-security--2/pica,img_28.jpg
28,https://www.indiegogo.com/projects/between-pro-the-best-sounding-wireless-earbuds/pica,img_29.jpg
29,https://www.indiegogo.com/projects/trigger-point-rocker-feel-good-build-muscle/pica,img_30.jpg
30,https://www.indiegogo.com/projects/tempmi-the-world-s-smallest-tritium-thermometer/pica,img_31.jpg
31,https://www.indiegogo.com/projects/sensitive-men-rising-the-documentary--2/pica,img_32.jpg
32,https://www.indiegogo.com/projects/cnc-one-the-easiest-way-to-start-cnc-machining/pica,img_33.jpg
33,https://www.indiegogo.com/projects/masseria-chicerro/pica,img_34.jpg
34,https://www.indiegogo.com/projects/trundle-and-the-lost-borscht-of-atlantis/pica,img_35.jpg
35,https://www.indiegogo.com/projects/chicago-love/pica,img_36.jpg
36,https://www.indiegogo.com/projects/zo-noe-a-bilingual-story/pica,img_37.jpg
37,https://www.indiegogo.com/projects/fitnek-pillow-say-goodbye-to-sleepless-nights/pica,img_38.jpg
38,https://www.indiegogo.com/projects/fitnek-pillow-say-goodbye-to-sleepless-nights/pica,img_39.jpg
39,https://www.indiegogo.com/projects/nightbuds-smart-earbuds-for-better-sleep/pica,img_40.jpg
40,https://www.indiegogo.com/projects/short-film-i-m-finding-it-hard-to-focus-today/pica,img_41.jpg
41,https://www.indiegogo.com/projects/a-place-in-hell--2/pica,img_42.jpg
42,https://www.indiegogo.com/projects/idolcon-2021-fundraising/pica,img_43.jpg
43,https://www.indiegogo.com/projects/luteal-a-short-film-about-waiting/pica,img_44.jpg
44,https://www.indiegogo.com/projects/mativ-the-ultimate-interactive-workout-mat--2/pica,img_45.jpg
45,https://www.indiegogo.com/projects/ecoflow-delta-pro/coming_soon/pica,img_46.jpg
46,https://www.indiegogo.com/projects/powerben-world-s-first-pd200w-input-powerbank--2/pica,img_47.jpg
47,https://www.indiegogo.com/projects/colombian-specialty-coffee-for-biodiversity/pica,img_48.jpg
48,https://www.indiegogo.com/projects/s-pot-the-engine-behind-your-plant-s-bloom/pica,img_49.jpg
49,https://www.indiegogo.com/projects/the-secret-of-delicious-coffee-the-brewing-guide/pica,img_50.jpg
50,https://www.indiegogo.com/projects/re-open-bipoc-worker-owned-yoga-studio/pica,img_51.jpg
51,https://www.indiegogo.com/projects/re-open-bipoc-worker-owned-yoga-studio/pica,img_52.jpg
52,https://www.indiegogo.com/projects/the-story-of-the-nutcracker-documentary/pica,img_53.jpg
53,https://www.indiegogo.com/projects/pepper-cannon-the-pepper-mill-for-pepper-lovers/pica,img_54.jpg
54,https://www.indiegogo.com/projects/fiendish-chapter-1-demons/pica,img_55.jpg
55,https://www.indiegogo.com/projects/six-gun-gorilla-cemetery-without-crosses--2/pica,img_56.jpg
56,https://www.indiegogo.com/projects/e-knee-your-customized-intelligent-knee-support--2/pica,img_57.jpg
