,url,title,image,description,category,balance,currency,progress,project_id
21,https://www.indiegogo.com/projects/bird-buddy-a-smart-bird-feeder/pica,Bird Buddy: A Smart Bird Feeder,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xd6nb41zdgvpzfcm5omb.jpg","Notifies you of bird visitors, captures their photos and organizes them in a beautiful collection.",HOME,"$7,853,247 ",USD raised,"10,186%",https://www.indiegogo.com/projects/bird-buddy-a-smart-bird-feeder/pica
22,https://www.indiegogo.com/projects/giant-sky-on-vinyl/pica,GIANT SKY ON VINYL,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tkn14nm0zb1yllhqbb6n.jpg",Want your name in the liner notes of the lush vinyl edition of the Giant Sky album? Make it happen.,MUSIC,"Kr 19,800 ",NOK raised,66%,https://www.indiegogo.com/projects/giant-sky-on-vinyl/pica
23,https://www.indiegogo.com/projects/world-s-smallest-cardiovascular-tester-icare/pica,World’s Smallest Cardiovascular Tester - iCARE!,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/s1ky2fbhufgajbzk0zh2.jpg","Reads your key 15 bio-signs easily, also can track Blood Pressure, ECG, Blood Oxygen Level, etc.",HEALTH & FITNESS,"$544,844 ",USD raised,"7,197%",https://www.indiegogo.com/projects/world-s-smallest-cardiovascular-tester-icare/pica
24,https://www.indiegogo.com/projects/joyfous-retractable-rolling-shower-screen--2/pica,JoyFous Retractable Rolling Shower Screen,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tfbos3rhqcqdnntma69t.jpg",Fits 3 wall tubs. Wet-dry separation. Space-saving. Mold-proof. Drill-free installation. 10-year use,HOME,"$170,831 ",USD raised,"1,708%",https://www.indiegogo.com/projects/joyfous-retractable-rolling-shower-screen--2/pica
25,https://www.indiegogo.com/projects/joyfous-retractable-rolling-shower-screen--2/pica,JoyFous Retractable Rolling Shower Screen,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tfbos3rhqcqdnntma69t.jpg",Fits 3 wall tubs. Wet-dry separation. Space-saving. Mold-proof. Drill-free installation. 10-year use,HOME,"$170,831 ",USD raised,"1,708%",https://www.indiegogo.com/projects/joyfous-retractable-rolling-shower-screen--2/pica
26,https://www.indiegogo.com/projects/blusaigon-mother-of-pearl-legacy-pen-collection/pica,BLUSAIGON Mother of Pearl Legacy Pen Collection,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/txnka1hiv4yfg8osfjjb.jpg","Treasure Of The Sea. The Handcrafted, Luxury Pens You Can Hold Forever.",PRODUCTIVITY,"$13,233 ",USD raised,265%,https://www.indiegogo.com/projects/blusaigon-mother-of-pearl-legacy-pen-collection/pica
27,https://www.indiegogo.com/projects/pastoralists-to-permaculture-maasai-food-security--2/pica,Pastoralists to Permaculture: Maasai Food Security,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/szktt2ewub4qrbru4aoz.jpg",Campaign Goal: Install elephant resistant fencing at Shamba Darasa Permaculture & Demonstration Farm,COMMUNITY PROJECTS,$985 ,CAD raised,7%,https://www.indiegogo.com/projects/pastoralists-to-permaculture-maasai-food-security--2/pica
28,https://www.indiegogo.com/projects/between-pro-the-best-sounding-wireless-earbuds/pica,Between Pro: The best-sounding wireless earbuds.,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jovoxk9y6nb4riob0cti.jpg","World-first triple driver earbuds. Industry-leading battery life, technology & ergonomics.",AUDIO,"$1,268,485 ",USD raised,"6,583%",https://www.indiegogo.com/projects/between-pro-the-best-sounding-wireless-earbuds/pica
29,https://www.indiegogo.com/projects/trigger-point-rocker-feel-good-build-muscle/pica,Trigger Point Rocker: Feel Good & Build Muscle,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/plxqhfldvsygocadsn55.jpg","Developed by Dr. Aaron Fu based on 1000s of screaming backs, necks & shoulders. Happiness Guarantee✅",HEALTH & FITNESS,"$1,523,703 ",USD raised,"24,729%",https://www.indiegogo.com/projects/trigger-point-rocker-feel-good-build-muscle/pica
30,https://www.indiegogo.com/projects/tempmi-the-world-s-smallest-tritium-thermometer/pica,TEMPMi - The World’s Smallest Tritium Thermometer,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/allqsyi9mqmhovtw43jk.jpg",Contactless Measurement | Compact | Tritium | App Tracking | Measure for all | Android & iOS,HEALTH & FITNESS,"$958,380 ",HKD raised,"3,828%",https://www.indiegogo.com/projects/tempmi-the-world-s-smallest-tritium-thermometer/pica
31,https://www.indiegogo.com/projects/sensitive-men-rising-the-documentary--2/pica,Sensitive Men Rising-The Documentary,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/c5h7sqpyf7ufthhnrqzm.jpg","This campaign is for the documentary film Sensitive Men Rising, the first film about sensitive men",FILM,"$1,227 ",USD raised,5%,https://www.indiegogo.com/projects/sensitive-men-rising-the-documentary--2/pica
32,https://www.indiegogo.com/projects/cnc-one-the-easiest-way-to-start-cnc-machining/pica,CNC ONE: The Easiest Way to Start CNC Machining,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/cygrklhy2szmhd6bxf7s.jpg","Mill metal, wood and acrylics with quality CNC machines made in Germany",PRODUCTIVITY,"€291,838 ",EUR raised,532%,https://www.indiegogo.com/projects/cnc-one-the-easiest-way-to-start-cnc-machining/pica
33,https://www.indiegogo.com/projects/masseria-chicerro/pica,Masseria Chicerro,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wienjs8qkr1jjew4rndv.jpg",Have you ever wanted to live in Italy for a little while?,LOCAL BUSINESSES,€700 ,EUR raised,4%,https://www.indiegogo.com/projects/masseria-chicerro/pica
34,https://www.indiegogo.com/projects/trundle-and-the-lost-borscht-of-atlantis/pica,Trundle and the Lost Borscht of Atlantis,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/niyntmtr0phljdcrw3zg.jpg","An inspiring film about chasing dreams, finding love, and sweating borscht #astarisborscht",FILM,"$1,280 ",USD raised,6%,https://www.indiegogo.com/projects/trundle-and-the-lost-borscht-of-atlantis/pica
35,https://www.indiegogo.com/projects/chicago-love/pica,Chicago Love,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hwv0uhkogqk0dat6onk4.jpg",A new documentary directed by Cary Cronenwett.,FILM,"$2,760 ",USD raised,28%,https://www.indiegogo.com/projects/chicago-love/pica
36,https://www.indiegogo.com/projects/zo-noe-a-bilingual-story/pica,Zo & Noé: a bilingual story,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jd93dr8bjsmolwll1tnu.jpg",An English & French Bilingual children's book that teaches languages through stories.,WRITING & PUBLISHING,"$6,045 ",USD raised,120%,https://www.indiegogo.com/projects/zo-noe-a-bilingual-story/pica
37,https://www.indiegogo.com/projects/fitnek-pillow-say-goodbye-to-sleepless-nights/pica,FitNek Pillow: Say Goodbye to Sleepless Nights,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/su8hakh4a8gqlrvif6tu.jpg",Just a pillow. But cooler. Much MUCH Cooler.,HOME,"$378,338 ",USD raised,"14,197%",https://www.indiegogo.com/projects/fitnek-pillow-say-goodbye-to-sleepless-nights/pica
38,https://www.indiegogo.com/projects/fitnek-pillow-say-goodbye-to-sleepless-nights/pica,FitNek Pillow: Say Goodbye to Sleepless Nights,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/su8hakh4a8gqlrvif6tu.jpg",Just a pillow. But cooler. Much MUCH Cooler.,HOME,"$378,338 ",USD raised,"14,197%",https://www.indiegogo.com/projects/fitnek-pillow-say-goodbye-to-sleepless-nights/pica
39,https://www.indiegogo.com/projects/nightbuds-smart-earbuds-for-better-sleep/pica,NightBuds - smart earbuds for better sleep,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/iwgs2biwt3svwiq2ax1x.jpg",Experience sleep like never before - intelligent audio to help you improve and enjoy your sleep,HEALTH & FITNESS,"$1,908,699 ",USD raised,"3,390%",https://www.indiegogo.com/projects/nightbuds-smart-earbuds-for-better-sleep/pica
40,https://www.indiegogo.com/projects/short-film-i-m-finding-it-hard-to-focus-today/pica,Short Film - I'm Finding it Hard to Focus Today,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dezedoq6g2lputp9nk8k.jpg",An international student production team trying to put their mark in film festivals!,FILM,£85 ,GBP raised,17%,https://www.indiegogo.com/projects/short-film-i-m-finding-it-hard-to-focus-today/pica
41,https://www.indiegogo.com/projects/a-place-in-hell--2/pica,A Place in Hell,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/yx7hidmfp9cyk1l9uf71.jpg",A thriller short film that starts with a hitchhiker and ends with a twist!,FILM,"$1,200 ",CAD raised,100%,https://www.indiegogo.com/projects/a-place-in-hell--2/pica
42,https://www.indiegogo.com/projects/idolcon-2021-fundraising/pica,IdolCon 2021 Fundraising,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/molctg7pm4l0k1oighdy.jpg",IdolCon is a non-profit convention focusing on spotlighting global idol culture in a virtual space.,COMMUNITY PROJECTS,"$2,805 ",USD raised,56%,https://www.indiegogo.com/projects/idolcon-2021-fundraising/pica
43,https://www.indiegogo.com/projects/luteal-a-short-film-about-waiting/pica,Luteal : A short film about waiting,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rlvedfmxpzcf8vat1ke1.jpg",How we wait is often how we cope. What do you do with the spaces in-between?,FILM,"$9,820 ",USD raised,98%,https://www.indiegogo.com/projects/luteal-a-short-film-about-waiting/pica
44,https://www.indiegogo.com/projects/mativ-the-ultimate-interactive-workout-mat--2/pica,"MATIV, the Ultimate Interactive Workout Mat","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/iqfsnyptnwuflmaaxyn4.jpg",The 1st multi-fitness smart mat that uses AI algorithm and sensors to analyze real-time workout data,HEALTH & FITNESS,"$204,459 ",USD raised,"2,041%",https://www.indiegogo.com/projects/mativ-the-ultimate-interactive-workout-mat--2/pica
45,https://www.indiegogo.com/projects/ecoflow-delta-pro/coming_soon/pica,EcoFlow DELTA Pro: The Portable Home Battery,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/arvslh8vxyfwi0vafmu6.jpg",Store energy for home backup (3-25kWh). Save on your electricity bills. Take power anywhere.,ENERGY & GREEN TECH,,,,https://www.indiegogo.com/projects/ecoflow-delta-pro/coming_soon/pica
